#name,airport,city,country,description,type,latitude,longitude
Jimmy Carter Foundation,ABY,,US,,Elite Destination,,
Banyan Tree Cabo Marqués,ACA,Acapulco,MX,,Luxury hotel,,
Paradisus by Melia Salinas Lanzarote ,ACE,,ES,,Luxury hotel,,
Sankt Gallen,ACH,,CH,,Elite residential,,
Sankt Gallen,ACH,,CH,,Elite residential,,
Nantucket,ACK,,US,,Elite residential,,
White Elephant,ACK,,US,,Luxury hotel,,
Bush Ranch,ACT,,US,,Elite Destination,,
Reges,ADB,,TR,Luxury Collection Hotels,Luxury hotel,,
Sheraton Addis,ADD,,ET,Luxury Collection Hotels,Luxury hotel,,
Sequoia Lodge - Exclusive Adults Only Luxury,ADL,South Australia,AU,Adults-only hotel within Mount Lofty Botanic Garden,Luxury hotel,,
Mount Lofty House Boutique Estate,ADL,,AU,,Luxury hotel,,
Puerto Madero,AEP,Buenos Aires,AR,,Elite residential,,
Sochi,AER,,RU,,Elite residential,,
RODINA Grand Hotel And Spa,AER,Sochi,RU,,Luxury hotel,43.4031,39.9561
Sochi,AER,,RU,,Ski Resort,,
La Zambra,AGP,,ES,Hyatt Unbound,Luxury hotel,,
La Zambra Resort,AGP,,ES,Hyatt Unbound,Luxury hotel,,
Marbella Club Hotel,AGP,Malaga,ES,,Luxury hotel,,
Nobu Hotel Marbella,AGP,,ES,,Luxury hotel,,
Finca Cortesín Hotel Golf & Spa,AGP,,ES,,Luxury hotel,,
ITC Mughal,AGR,,IN,Luxury Collection Hotels,Luxury hotel,,
The Oberoi Amarvilas,AGR,,IN,The Oberoi,Luxury hotel,,
The Masters Tournament,AGS,,US,Exclusive golf tournament,Elite Destination,,
Herne Bay,AKL,Auckland,NZ,,Elite residential,,
Parnell,AKL,Auckland,NZ,,Elite residential,,
Remuera,AKL,Auckland,NZ,,Elite residential,,
JW Marriott Auckland,AKL,Auckland,NZ,JW Marriott,Luxury hotel,,
Park Hyatt Auckland,AKL,,NZ,,Luxury hotel,,
Kok-Tobe District,ALA,Almaty,KZ,,Elite residential,,
